City_Eng_Trim,num
Ankang,42.81
Shangluo,22.36
Lanzhou,81.08
Jiayuguan,3.48
Jinchang,60.71
Baiyin,101.37
Tianshui,35.55
Wuwei,187.08
Zhangye,185.91
Pingliang,43.17
Jiuquan,159.49
Qingyang,51.71
Dingxi,68.64
Longnan,63.38
Linxia Hui,55.52
Gannan Tibetan,6.11
Golog Tibetan,24.625
Gyegu Tibetan,24.625
Haibei Tibetan,24.625
Haidong,24.625
Hainan Tibetan,24.625
Haixi Mongol and Tibetan,24.625
Huangnan Tibetan,24.625
Xining,24.625
Guyuan,101.3
Shizuishan,101.3
Wuzhong,101.3
Yinchuan,101.3
Zhongwei,101.3
Urumqi,6.4
Karamay,19.65
Turfan,59.12
Hami,70.68
Changji Hui,384.4
Ili Kazakh,258.39
Tacheng,433.86
Altay,183.53
Bortala Mongol,111.34
Bayin'gholin Mongol,315.27
Aksu,263.29
Kizilsu Kirghiz,15.92
Kashgar,161.49
Khotan,135.61
Beijing,137.4
Tianjin,308.9
Chongqing,687.2
Shanghai,188.2
